URL,	Times
/courses/CA/2012Spring/4%20Benchmark.pdf,	5
/~wengkai/ham/ARandDF.pdf,	5
/courses/PT/2012Spring/APRS%20Procotol%20.pdf,	5
/~wengkai/gct15/GCT15in.jpg,	5
/~wengkai/ham/wk08.jpg,	5
/%7Exgy/music/xialala/leekka%20-%20%A4%BD%A4%D0%A4%CB%A4%A4%A4%EB%A4%CD.mp3,	4
/courses/CA/2012Spring/Lab_report_template.doc,	4
/~wengkai/tem/g3103,	4
/~wengkai/ham/GPWin1.jpg,	4
/~wengkai/tem/solder.html,	4
/~wengkai/ham/9480.pdf,	4
/~wengkai/paper/YuChao.html,	4
/editScheDo.php,	4
/~wengkai/ham/MainBoard.html,	4
/~wengkai/aprsbox/s2.jpg,	4
/~wengkai/gct15/GCT15-2.jpg,	4
/~wengkai/aprsbox/s3.jpg,	4
/data/cache/fuck.php,	4
/~wengkai/aprsbox/s1.jpg,	4
/ppa/css/phpmyadmin.css.php,	4
/\xd0\xc2\xba\xf3\xd7\xba,	4
/~wengkai/paper/HeTao.files/image003.gif,	4
/~wengkai/paper/ZhuHuaiyi.html,	4
/tt/,	4
/~wengkai/ham/SDC15955.JPG,	4
/teamJoin.php,	3
/index,	3
/sdk/%2E%2E/%2E%2E/%2E%2E/%2E%2E/%2E%2E/%2E%2E//etc/vmware/hostd/vmInventory.xml,	3
/~wengkai/other/solar/index.html,	3
/courses/CA/2012Spring/assignments/,	3
/~wengkai/paper/HeTao.files/image018.png,	3
/~wengkai/tem/g3101,	3
/~wengkai/projects/2108/modules/,	3
/~wengkai/paper/HeTao.files/image001.png,	3
/~wengkai/paper/index.html,	3
/adm/logout.php,	3
/~wengkai/ham/,	3
/~wengkai/tem,	3
/showcourse.php,	3
/~wengkai/projects/2108/modules/codec/module.c,	3
/~wengkai/ham/2002BI5Hplan.html,	3
/phpmyadmin/main.php,	3
/~wengkai/paper/HeTao.files/image010.png,	3
/~wengkai/aprsbox/update.html,	3
/courses/JAVA/2012Spring/codinglife.sql,	3
/tt/editProfile.php,	3
/~wengkai/ham/7902/index.html,	3
/adm/showCourse.php,	3
/phpmyadmin/sql.php,	3
